,gene,way,branch,type,conf
0,79,AG,3,leaf,100.0
1,80,AG,3,leaf,100.0
2,102,AG,3,leaf,100.0
3,153,AG,3,leaf,100.0
4,190,AG,3,leaf,100.0
5,192,AG,3,leaf,100.0
6,193,AG,3,leaf,100.0
7,194,AG,3,leaf,100.0
8,291,AG,3,leaf,100.0
9,312,AG,3,leaf,100.0
10,313,AG,3,leaf,100.0
11,334,AG,3,leaf,100.0
12,342,AG,3,leaf,100.0
13,353,AG,3,leaf,100.0
14,397,AG,3,leaf,100.0
15,408,AG,3,leaf,100.0
16,416,AG,3,leaf,100.0
17,479,AG,3,leaf,100.0
18,602,AG,3,leaf,100.0
19,623,AG,3,leaf,100.0
20,677,AG,3,leaf,100.0
21,678,AG,3,leaf,100.0
22,691,AG,3,leaf,100.0
23,783,AG,3,leaf,100.0
24,793,AG,3,leaf,100.0
25,864,AG,3,leaf,100.0
26,866,AG,3,leaf,100.0
27,877,AG,3,leaf,100.0
28,881,AG,3,leaf,100.0
29,951,AG,3,leaf,100.0
30,952,AG,3,leaf,100.0
31,1015,AG,3,leaf,100.0
32,1042,AG,3,leaf,100.0
33,1247,AG,3,leaf,100.0
34,1251,AG,3,leaf,100.0
35,1253,AG,3,leaf,100.0
36,1302,AG,3,leaf,100.0
37,1343,AG,3,leaf,100.0
38,1367,AG,3,leaf,100.0
39,1372,AG,3,leaf,100.0
40,1417,AG,3,leaf,100.0
41,1420,AG,3,leaf,100.0
42,1421,AG,3,leaf,100.0
43,1422,AG,3,leaf,100.0
44,1423,AG,3,leaf,100.0
45,1424,AG,3,leaf,100.0
46,1546,AG,3,leaf,100.0
47,1643,AG,3,leaf,100.0
48,1658,AG,3,leaf,100.0
49,1661,AG,3,leaf,100.0
50,1687,AG,3,leaf,100.0
51,1790,AG,3,leaf,100.0
52,1791,AG,3,leaf,100.0
53,1821,AG,3,leaf,100.0
54,1844,AG,3,leaf,100.0
55,1857,AG,3,leaf,100.0
56,1915,AG,3,leaf,100.0
57,1936,AG,3,leaf,100.0
58,1988,AG,3,leaf,100.0
59,2001,AG,3,leaf,100.0
