TREE_COLORS
SEPARATOR TAB
DATA
Vibrio_alfacsensis_CAIM_1831	range	#bcc200	alfacsensis
Vibrio_alginolyticus_ATCC_33787	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K04M3	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K08M3	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K04M5	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K06K5	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_ARGOS_108	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_J207	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_ATCC_17749	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K09K1	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K10K4	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K01M1	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_FDAARGOS_114	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_ZJ_T	range	#f8eb73	alginolyticus
Vibrio_alginolyticus_K08M4	range	#f8eb73	alginolyticus
Vibrio_anguillarum_J360	range	#a5921b	anguillarum
Vibrio_anguillarum_VIB12	range	#a5921b	anguillarum
Vibrio_anguillarum_425	range	#a5921b	anguillarum
Vibrio_anguillarum_87_9_116	range	#a5921b	anguillarum
Vibrio_anguillarum_VIB43	range	#a5921b	anguillarum
Vibrio_anguillarum_CNEVA_NB11008	range	#a5921b	anguillarum
Vibrio_anguillarum_775	range	#a5921b	anguillarum
Vibrio_anguillarum_JLL237	range	#a5921b	anguillarum
Vibrio_anguillarum_NB10	range	#a5921b	anguillarum
Vibrio_anguillarum_S3_4_9	range	#a5921b	anguillarum
Vibrio_anguillarum_90_11_286	range	#a5921b	anguillarum
Vibrio_anguillarum_M3	range	#a5921b	anguillarum
Vibrio_anguillarum_ATCC_68554	range	#a5921b	anguillarum
Vibrio_anguillarum_MHK3	range	#a5921b	anguillarum
Vibrio_antiquarius_EX25	range	#e8fe80	antiquarius
Vibrio_breoganii_FF50	range	#d2c100	breoganii
Vibrio_campbellii_LA16_V1	range	#98ae3a	campbellii
Vibrio_campbellii_ATCC_BAA_1116__BB120	range	#98ae3a	campbellii
Vibrio_campbellii_20130629003S01	range	#98ae3a	campbellii
Vibrio_campbellii_LMB29	range	#98ae3a	campbellii
Vibrio_campbellii_BoB_90	range	#98ae3a	campbellii
Vibrio_campbellii_ATCC_BAA_1116	range	#98ae3a	campbellii
Vibrio_campbellii_170502	range	#98ae3a	campbellii
Vibrio_campbellii_BoB_53	range	#98ae3a	campbellii
Vibrio_campbellii_DS40M4	range	#98ae3a	campbellii
Vibrio_campbellii_ATCC_25920__CAIM_519T	range	#98ae3a	campbellii
Vibrio_sp__EJY3	range	#ffe53f	cholerae
Vibrio_sp__dhg	range	#ffe53f	cholerae
Vibrio_cholerae_O395_1	range	#C70039	cholerae
Vibrio_cholerae_E4	range	#C70039	cholerae
Vibrio_cholerae_NCTC5395	range	#C70039	cholerae
Vibrio_cholerae_O395_2	range	#C70039	cholerae
Vibrio_cholerae_C5	range	#C70039	cholerae
Vibrio_cholerae_2010EL_1786	range	#C70039	cholerae
Vibrio_cholerae_CRC1106	range	#C70039	cholerae
Vibrio_cholerae_E9120	range	#C70039	cholerae
Vibrio_cholerae_N16961_1	range	#C70039	cholerae
Vibrio_cholerae_NCTC9420	range	#C70039	cholerae
Vibrio_cholerae_MJ_1236	range	#C70039	cholerae
Vibrio_cholerae_MS6	range	#C70039	cholerae
Vibrio_cholerae_A1552__124	range	#C70039	cholerae
Vibrio_cholerae_E506	range	#C70039	cholerae
Vibrio_cholerae_2012EL_2176	range	#C70039	cholerae
Vibrio_cholerae_E7946	range	#C70039	cholerae
Vibrio_cholerae_CRC711	range	#C70039	cholerae
Vibrio_cholerae_FDAARGOS_223	range	#C70039	cholerae
Vibrio_cholerae_HC1037	range	#C70039	cholerae
Vibrio_cholerae_M66_2	range	#C70039	cholerae
Vibrio_cholerae_M2140	range	#C70039	cholerae
Vibrio_cholerae_FORC_055	range	#C70039	cholerae
Vibrio_cholerae_str__BC1071	range	#C70039	cholerae
Vibrio_cholerae_E1162	range	#C70039	cholerae
Vibrio_cholerae_IEC224	range	#C70039	cholerae
Vibrio_cholerae_2740_80	range	#C70039	cholerae
Vibrio_cholerae_E1320	range	#C70039	cholerae
Vibrio_cholerae_FORC_076	range	#C70039	cholerae
Vibrio_cholerae_KW3	range	#C70039	cholerae
Vibrio_cholerae_20000	range	#C70039	cholerae
Vibrio_cholerae_A1552	range	#C70039	cholerae
Vibrio_sp__2521_89	range	#C70039	cholerae
Vibrio_cholerae_2012Env_9	range	#C70039	cholerae
Vibrio_cholerae_Env_390	range	#C70039	cholerae
Vibrio_cholerae_4295STDY6534232	range	#C70039	cholerae
Vibrio_cholerae_4295STDY6534216	range	#C70039	cholerae
Vibrio_cholerae_A1552__156	range	#C70039	cholerae
Vibrio_cholerae_10432_62	range	#C70039	cholerae
Vibrio_cholerae_4295STDY6534248	range	#C70039	cholerae
Vibrio_cholerae_V060002	range	#C70039	cholerae
Vibrio_cholerae_Sa5Y	range	#C70039	cholerae
Vibrio_cholerae_N16961_2	range	#C70039	cholerae
Vibrio_cholerae_FORC_073	range	#C70039	cholerae
Vibrio_cholerae_FJ147	range	#C70039	cholerae
Vibrio_cholerae_NCTC_30	range	#C70039	cholerae
Vibrio_cholerae_1154_74	range	#C70039	cholerae
Vibrio_coralliilyticus_RE98	range	#77ac00	coralliilyticus
Vibrio_coralliilyticus_RE22	range	#77ac00	coralliilyticus
Vibrio_coralliilyticus_OCN014	range	#77ac00	coralliilyticus
Vibrio_coralliilyticus_58	range	#77ac00	coralliilyticus
Vibrio_coralliilyticus_SNUTY_1	range	#77ac00	coralliilyticus
Vibrio_diabolicus_FDAARGOS_105	range	#ffd14f	diabolicus
Vibrio_diabolicus_LMG_3418	range	#ffd14f	diabolicus
Vibrio_diabolicus_FDAARGOS_96	range	#ffd14f	diabolicus
Vibrio_fluvialis_AK_1296_A2_1	range	#b3ef82	fluvialis
Vibrio_fluvialis_ATCC_33809	range	#b3ef82	fluvialis
Vibrio_furnissii_NCTC_11218	range	#c19a00	furnissii
Vibrio_gazogenes_ATCC_43942	range	#9cdc6b	gazogenes
Vibrio_harveyi_345	range	#ffc020	harveyi
Vibrio_harveyi_ATCC_43516	range	#ffc020	harveyi
Vibrio_harveyi_QT520	range	#ffc020	harveyi
Vibrio_harveyi_ATCC_33843__392__MAV__	range	#ffc020	harveyi
Vibrio_mediterranei_117_T6	range	#649120	mediterranei
Vibrio_mediterranei_QT6D1	range	#649120	mediterranei
Vibrio_mimicus_SCCF01	range	#eaff3d	mimicus
Vibrio_mimicus_ATCC_33654	range	#eaff3d	mimicus
Vibrio_natriegens_CCUG_16373	range	#d1a137	natriegens
Vibrio_natriegens_CCUG_16374	range	#d1a137	natriegens
Vibrio_natriegens_ATCC_14048__82	range	#d1a137	natriegens
Vibrio_natriegens_ATCC_14048__89	range	#d1a137	natriegens
Vibrio_natriegens_CCUG_16371	range	#d1a137	natriegens
Vibrio_nigripulchritudo_SFn1	range	#acdc01	nigripulchritudo
Aliivibrio_fischeri_ES114	range	#ff7460	outgroup
Photobacterium_gaetbulicola_Gung47	range	#ff7460	outgroup
Salinivibrio_kushneri_AL184	range	#ff7460	outgroup
Grimontia_hollisae_FDAARGOS_111	range	#ff7460	outgroup
Vibrio_owensii_V180403	range	#64b32a	owensii
Vibrio_owensii_1700302	range	#64b32a	owensii
