GB_chromosome_id	strain_name	length	number_of_CDs	chromosome	species	GB_assembly_ID	
LT992492.1	Vibrio cholerae strain 4295STDY6534248 genome assembly, chromosome 1	3041945	5545	1	cholerae	GCA_900324455.1_48853_A02
LT992493.1	Vibrio cholerae strain 4295STDY6534248 genome assembly, chromosome 2	1050699	1891	2	cholerae	GCA_900324455.1_48853_A02
CP017891.1	Vibrio alginolyticus strain K04M1 chromosome 1, complete sequence	3473127	6441	1	alginolyticus	GCA_003613035.1_ASM361303v1
CP017892.1	Vibrio alginolyticus strain K04M1 chromosome 2, complete sequence	1870775	3321	2	alginolyticus	GCA_003613035.1_ASM361303v1
CP017894.1	Vibrio alginolyticus strain K04M1 plasmid pL19, complete sequence	19690	58	p	alginolyticus	GCA_003613035.1_ASM361303v1
CP017893.1	Vibrio alginolyticus strain K04M1 plasmid pL280, complete sequence	280614	611	p	alginolyticus	GCA_003613035.1_ASM361303v1
CP016987.1	Vibrio cholerae strain FORC_055 chromosome 1, complete sequence	3028272	5627	1	cholerae	GCA_002313025.1_ASM231302v1
CP016988.1	Vibrio cholerae strain FORC_055 chromosome 2, complete sequence	1067461	2003	2	cholerae	GCA_002313025.1_ASM231302v1
CP013248.1	Vibrio parahaemolyticus strain FORC_022 chromosome 1, complete sequence	3358191	6443	1	parahaemolyticus	GCA_001879585.1_ASM187958v1
CP013249.1	Vibrio parahaemolyticus strain FORC_022 chromosome 2, complete sequence	1879955	3401	2	parahaemolyticus	GCA_001879585.1_ASM187958v1
CP013250.1	Vibrio parahaemolyticus strain FORC_022 plasmid, complete sequence	101545	247	p	parahaemolyticus	GCA_001879585.1_ASM187958v1
CP014040.1	Vibrio alginolyticus strain J207 chromosome 1, complete sequence	3434696	6859	1	alginolyticus	GCA_002953535.1_ASM295353v1
CP014041.1	Vibrio alginolyticus strain J207 chromosome 2, complete sequence	1833981	3355	2	alginolyticus	GCA_002953535.1_ASM295353v1
CP006718.1	Vibrio alginolyticus NBRC 15630 = ATCC 17749 chromosome 1, complete sequence	3334467	6355	1	alginolyticus	GCA_000354175.2_ASM35417v2
CP006719.1	Vibrio alginolyticus NBRC 15630 = ATCC 17749 chromosome 2, complete sequence	1812170	3321	2	alginolyticus	GCA_000354175.2_ASM35417v2
CP033077.1	Vibrio sp. HBUAS61001 chromosome 1, complete sequence	1107930	1	2	sp.	GCA_003716875.1_ASM371687v1
CP033078.1	Vibrio sp. HBUAS61001 chromosome 2, complete sequence	2901449	1	1	sp.	GCA_003716875.1_ASM371687v1
CP013826.1	Vibrio parahaemolyticus strain FORC_018 chromosome I, complete sequence	3273522	6137	1	parahaemolyticus	GCA_001887055.1_ASM188705v1
CP013827.1	Vibrio parahaemolyticus strain FORC_018 chromosome II, complete sequence	1772038	3199	2	parahaemolyticus	GCA_001887055.1_ASM188705v1
